,text,category,labels,scores,discrediting,emotion,polarization,impersonation,conspiracy,trolling,pro-ukrainian,pro-russian
0,"У Херсоні продовжують працювати прихистки для людей, які постраждали через підтоплення. А благодійники й надалі надають необхідну підтримку цим закладам.

Надіслати новину @hueviy_kherson_Bot
👉ПІДПИСАТИСЯ",deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.903220534324646, 0.03571842610836029, 0.03459375724196434, 0.026467280462384224]",0,1,0,0,0,0,2,0
1,"‼️💬«Рассылка ложного сообщения о «перегруппировке» войск в районе Днепра якобы от имени пресс-центра Минобороны России является провокацией», заявили РБК в Минобороны РФ.

Боевое Знамя|Обсуждение",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.6391412019729614, 0.21041861176490784, 0.08095985651016235, 0.06948035210371017]",3,2,2,4,1,2,0,3
2,"УкроСМИ пишут, что российская сторона якобы передала через спецпосланника Уиткоффа в США, что помимо четырех областей и Крыма будут требовать создания буферной зоны вдоль границы с Украиной, глубиной 30 км. Буферная зона необходима для того, чтобы ВСУшники не имели возможности наносить удары по нашим объектам и мирным жителям. Мы уже писали, что для полной безопасности наших граждан нам нужно отодвинуть противника на 40-50 км, а еще лучше до 70-100 км. Потому что, это рабочая дальность у западной арты, которую используют хохлы. Конечно, судя по тому, что Украина не готова даже 30 дней не наносить удары по энергообъектам, для них и это расстояние и договоренности не станут преградой. Но некая безопасность уже будет, хотя бы от дронов и артиллерии. Линия в 30 км - это новый минимум безопасности, ниже которого Россия не согласится. Если же Украина не пойдет на уступки, то наши войска будут занимать ее территорию на эту глубину и пойдут на Днепропетровскую область. А правда были ли такие обсуждения или нет, узнаем позже. Пока продолжаем выполнять задачи 🇷🇺

🦅 Подписаться | Наш чат 👌",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.9930375218391418, 0.004728209692984819, 0.0011881804093718529, 0.0010461276397109032]",4,3,4,1,2,3,0,5
3,"Каннибалы Зеленского остались без добычи благодаря жене с двуствольным аргументом.

🇷🇺 Подписаться на Сводки 🇷🇺",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.597122311592102, 0.3625556230545044, 0.02204166166484356, 0.018280338495969772]",5,4,3,0,0,3,0,5
4,"❗ Увага!

🚧 Завтра, 18 жовтня, у зв’язку з підйомом води у р. Десна, триватимуть поточні ремонтні роботи на переправі поблизу Чернігова. Очікуються ускладнення в русі переправою.

☝️ Рекомендуємо використовувати альтернативний маршрут за напрямком Чернігів — Київ або ж планувати подорожі у ці дні з урахуванням очікуваних затримок.",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.8695698976516724, 0.06685594469308853, 0.04648192226886749, 0.017092283815145493]",0,1,0,0,0,0,0,0
5,"Каждый день, каждую ночь в небе гремит бой

Сотни ракет. Стаи беспилотников. Украинские дроны и «подарки» от Запада летят в сторону наших городов, баз, мирных жителей. Думают, что мы дрогнем. Думают, что пробьют. А в ответ — глухой рокот, вспышка в небе и оглушительное: ЦЕЛЬ УНИЧТОЖЕНА!
Работает ПВО. Наши парни — герои без лишнего шума.

На Херсонщине, в Подмосковье, в Крыму, в Белгороде, на юге и в центре страны — где бы враг ни пытался нанести удар, ему отвечают точно и без промаха. Операторы, расчёты, дежурные экипажи — они круглосуточно держат щит над всей Россией.
Ты спишь — они работают.
Они не ждут аплодисментов. Они просто делают своё дело:
сбивают беспилотники,
сбивают крылатые ракеты,
обнаруживают цели за сотни километров,
прикрывают города, аэродромы, наши семьи.

Каждый раз, когда небо остаётся чистым — это их заслуга.
Ты слышишь глухой хлопок — и знаешь: попали.

Ты не видишь «прилёта» — потому что ПВО не допустила.
 Мы гордимся каждым, кто стоит на страже неба.
Сухопутные, мобильные, корабельные, стратегические системы. «Панцири», С-300, С-400, новые комплексы. Все они — как единый организм. Ошибок нет. Есть только точный расчёт и железные нервы.

Это не просто техника. Это люди. Это честь. Это сила.
Спасибо вам, защитники неба! 🤙🇷🇺

🦅 Подписаться | Наш чат 👌",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.8618974089622498, 0.07814323902130127, 0.03010525368154049, 0.02985408529639244]",2,4,3,0,1,1,0,5
6,"​Менська громада з глибоким сумом повідомляє про загибель воїна — Андрія Макиші, жителя села Величківка. Герой поліг 8 квітня 2025 року, захищаючи Україну.",deoccupied,"['politics', 'territory', 'entertainment', 'economy']","[0.48799777030944824, 0.365010142326355, 0.08185631781816483, 0.06513577699661255]",0,3,0,0,0,0,4,0
7,❗️ Активність ворожої авіації,deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.5511346459388733, 0.2583090364933014, 0.12702974677085876, 0.06352656334638596]",0,2,0,0,0,0,3,0
8,"Козаки!

Вибачайте, що часто випадаємо, оскільки перекинули на Суми.

Трішки часу і ми повноцінно відновимо інформування по прикордонню.

Зара, враховуючи погоду, мало літаємо як ми так і русня.

""Чекаємо"" ""зеленку"" тоді можна буде попрацювати😏

На зв’язку 🫡",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.9462435841560364, 0.029620841145515442, 0.013444150798022747, 0.010691413655877113]",2,2,1,0,0,1,4,0
9,❗️ Херсон - загроза,deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.8325100541114807, 0.09525682777166367, 0.06224937364459038, 0.009983704425394535]",2,3,2,0,1,1,0,0
