,text,category,labels,scores,discrediting,emotion,polarization,impersonation,conspiracy,trolling,pro-ukrainian,pro-russian
0,"❗️💬'ВС РФ уже несколько дней как перешли к активным боевым действиям практически по всему фронту, украинское контрнаступление закончено', — постпред РФ в ООН Небензя.

😌Свободный Херсон",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.45715761184692383, 0.3553262948989868, 0.13410916924476624, 0.05340687558054924]",3,2,3,0,1,2,0,5
1,"Пхах. За зарплатами ""В очередь, сукины дети"" (с)

Наші хакери поклали сайт військовиків кацапії 👏👏👏

Підписатись: Херсон Днём и ночью 👈 тиць!",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.56640625, 0.2347799390554428, 0.18085485696792603, 0.01795891299843788]",4,3,2,0,0,3,5,0
2,"❗️Папа Римський Франциск помер, - Ватикан

Підписатись: Херсон Днём и ночью 👈 тиць",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.5592910647392273, 0.21135906875133514, 0.11820130050182343, 0.11114860326051712]",0,2,0,0,0,1,0,0
3,"Правый берег Херсонщины, как у Вас обстоят дела с выплатами пенсий, заработных плат, есть ли вообще работа? Напишите мне в чат-бот @VKhersone_bot (;)Все анонимно.",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.730739951133728, 0.24414551258087158, 0.016878429800271988, 0.008236050605773926]",1,1,1,0,0,0,0,0
4,"🥺 Зруйнований росіянами знак із Херсонщини перетворили на скульптуру в Києві

На Центральному вокзалі столиці презентували скульптуру «Воля», створену з букв зруйнованого вітального знака села Любимівка. Автор роботи — художник Олексій Сай.

Скульптура символізує «свободу» та «волевиявлення» і була раніше експонована на міжнародних подіях. Тепер вона доступна для перегляду на вокзалі, на другому поверсі біля ескалатора.",deoccupied,"['politics', 'territory', 'entertainment', 'economy']","[0.5432453751564026, 0.4204480051994324, 0.02915252558887005, 0.007154115941375494]",2,3,2,0,0,1,4,0
5,"🇺🇦Депутат Верховной Рады заявили о превращении Украины в колонию

🇺🇸После подписания соглашения с США по украинским недрам Украина превратится в колонию, заявил депутат Верховной рады Александр Дубинский в своем Telegram-канале.

🤡""Зеленский сдает страну. Не продает, а именно - сдает… Хочу подчеркнуть - все претензии по сделке, в которой Украина отдает навечно права распоряжаться своими недрами США - к Зеленскому. К Трампу претензий нет. Он действует в интересах США"", - написал находящийся в СИЗО Дубинский.

💰По его словам, соглашение – это грабеж, на который Зеленский идет, чтобы получить гарантии безопасности для себя.

🇺🇦""Называть Украину ""независимым государством"" после поездки Зеленского в США уже не нужно будет. Провинция, колония, заморская территория. Забудьте слово держава. Зеленский его уничтожил, как памятники и культуру, как язык и церковь. Ликвидатор государственности"", - отметил Дубинский.

📱телеграм-канал Херсонский Вестник
🌐группа VK Вконтакте",deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.9063873291015625, 0.07465623319149017, 0.01041954755783081, 0.008536860346794128]",5,4,4,1,3,2,1,4
6,"❗️ російські терористи здійснили масований обстріл прикордонного міста Сновськ

Сьогодні вдень під масований удар ворога касетними боєприпасами потрапило місто Сновськ Корюківського району. Нині на місці події працюють всі профільні служби.

Внаслідок атаки зазнали поранень 39-річна жінка та двоє чоловіків віком 72 роки та 51 рік. Є пошкодження низки житлових будинків, автомобілів та цивільної інфраструктури.

☑️ Підписатися",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.946707010269165, 0.02420658990740776, 0.01946018822491169, 0.009626226499676704]",4,3,3,0,0,1,5,0
7,"Сотрудники Прокуратуры Скадовского района приняли участие в восстановлении и ремонте памятных мест, посвященных Победе в Великой Отечественной войне

У памятника «Братская могила Советской армии» в селе Красное были проведены работы по демонтажу поврежденной бетонной плиты и заливка новой, осуществлены отделочно-покрасочные работы.

При восстановлении мемориала «Неизвестному солдату» в селе Виноградово Алешкинского округа работниками прокуратуры и вдминистрации произведена уборка прилегающей территории, а также отделочно-покрасочные работы.

Достойный поступок",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.5072765350341797, 0.21207484602928162, 0.16729086637496948, 0.11335774511098862]",0,1,0,0,0,0,0,2
8,"Недоброе утро в Николаеве после прилета русских ""Гераней"".

📱телеграм-канал Херсонский Вестник
🌐группа VK Вконтакте",deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.6469013690948486, 0.16737282276153564, 0.1258908063173294, 0.059835027903318405]",3,2,3,0,0,1,2,4
9,"❗️Путин объявил минуту молчания на Всемирном русском соборе в память о погибших в СВО бойцах

Также сделал ряд заявлений:

– Битва России за суверенитет и справедливость носит национально-освободительный характер

– Современная Россия возвращает и укрепляет свой суверенитет как мировая держава

– Без русских как этноса нет и не может быть России и русского мира

– Без сильной России прочный мировой порядок невозможен

– Именно русский мир преградил дорогу тем, кто объявил себя исключительным, но диктатура гегемона дряхлеет

– Русские — это больше чем национальность, это в том числе культурная и историческая идентичность

– Быть русским — это прежде всего ответственность за сбережение России

– Западу не нужна большая Россия

– Россия находится сейчас в авангарде формирования более справедливого мироустройства

– Русский мир это Древняя Русь, Российская Империя, Советский Союз и современная Россия

– Мы никому не позволим делить Россию, она у нас одна — Путин

Боевое знамя | Обсуждение",deoccupied,"['politics', 'territory', 'entertainment', 'economy']","[0.6534497141838074, 0.30614742636680603, 0.029513947665691376, 0.01088892761617899]",3,4,4,0,3,2,0,6
